MES/AÑO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ENERO,14.92,13.37,16.34,16.80,19.80,23.31,23.62,29.55,22.86,29.62,32.18,33.88,34.43,35.26,22.36,21.01,25.31,26.47,23.72,26.17,24.34,32.05
FEBRERO,15.17,13.23,17.21,18.05,19.25,22.98,22.65,29.45,22.71,29.14,32.90,36.18,36.31,34.46,25.92,20.03,24.51,26.27,24.54,25.12,26.07,34.55
MARZO,14.97,13.63,18.30,18.68,20.46,22.85,24.00,30.83,22.39,30.71,35.59,37.54,36.32,34.81,25.61,21.70,24.03,26.43,26.49,24.15,28.24,39.83
ABRIL,14.91,15.18,17.42,19.16,22.70,25.36,26.35,32.45,23.05,31.88,36.43,38.40,35.12,35.66,26.17,22.91,24.81,27.74,28.48,19.44,28.54,39.37
MAYO,16.26,15.19,16.48,19.48,23.21,27.68,28.40,33.93,24.24,30.92,36.33,36.50,35.26,35.25,27.46,23.75,24.24,28.57,28.54,19.36,29.41,
JUNIO,16.31,15.05,15.68,19.90,22.98,27.44,29.50,36.39,25.15,29.19,35.59,35.59,34.84,35.90,27.84,24.31,23.94,28.60,27.09,21.57,29.31,
JULIO,15.53,15.56,15.58,19.85,23.08,27.27,29.19,37.25,27.73,28.95,36.04,35.57,36.28,36.13,27.74,23.16,23.80,28.54,27.75,23.17,30.04,
AGOSTO,14.75,16.31,16.06,19.69,23.63,28.83,28.47,36.62,27.93,29.24,35.85,36.31,36.91,34.51,25.81,22.99,24.38,28.60,26.69,22.76,30.49,
SEPTIEMBRE,14.95,16.23,17.51,19.51,25.80,27.72,27.81,35.87,28.00,28.02,35.61,38.44,36.54,33.63,23.83,23.67,25.93,28.86,26.53,22.64,30.83,
OCTUBRE,14.94,16.62,17.20,20.14,27.83,25.43,28.12,32.48,27.36,29.91,35.00,37.11,34.57,31.82,23.50,24.01,25.08,29.14,25.21,22.76,32.60,
NOVIEMBRE,14.43,16.75,16.82,21.03,26.60,23.83,29.15,27.45,29.17,30.14,35.43,34.60,33.59,29.98,22.54,23.31,25.98,26.44,26.17,21.76,32.11,
DICIEMBRE,13.57,16.50,16.40,20.71,23.93,23.87,29.79,23.80,28.70,31.08,34.09,34.61,35.64,26.46,21.64,24.26,25.75,24.50,25.96,23.41,30.38,
Promedio,15.06,15.30,16.75,19.42,23.27,25.55,27.25,32.17,25.77,29.90,35.09,36.23,35.48,33.66,25.04,22.93,24.81,27.51,26.43,22.69,29.36,36.45
GASOLINA SUPERIOR,,,,,,,,,,,,,,,,,,,,,,
MES/AÑO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ENERO,14.41,12.94,15.80,16.24,19.09,22.65,22.99,28.89,21.58,28.36,30.89,33.22,33.69,34.84,21.74,20.39,24.69,25.83,23.03,25.60,23.82,31.41
FEBRERO,14.66,12.76,16.64,17.49,18.60,22.35,22.04,28.71,21.35,27.99,31.86,34.80,35.44,33.93,23.25,19.38,23.88,25.78,23.87,24.51,25.53,33.84
MARZO,14.49,13.04,17.79,18.11,19.76,22.16,23.13,30.04,21.05,29.39,34.52,36.95,35.36,34.26,24.99,21.02,23.42,25.80,25.80,23.60,27.70,39.12
ABRIL,14.46,14.60,17.01,18.48,21.94,24.48,25.53,31.69,21.57,30.56,35.47,37.56,34.45,35.08,25.55,22.25,24.20,27.10,27.82,18.97,28.03,38.83
MAYO,15.76,14.65,15.92,18.89,22.48,26.85,27.59,33.12,22.81,29.84,35.61,35.85,34.60,34.70,26.86,23.10,23.64,28.29,27.88,18.74,28.80,
JUNIO,15.76,14.49,15.07,19.24,22.22,26.77,28.69,35.51,23.91,28.03,34.76,33.72,34.25,35.36,27.10,23.66,23.33,27.95,26.44,21.08,28.85,
JULIO,15.12,14.86,15.10,19.16,22.23,26.58,28.41,36.42,26.56,27.93,34.97,34.71,35.64,35.61,27.14,22.53,23.15,27.87,27.13,22.55,29.49,
AGOSTO,14.32,15.68,15.54,19.04,22.89,28.12,27.91,35.78,26.58,28.13,35.14,35.28,36.33,34.03,25.20,22.34,23.73,27.95,26.07,22.33,29.91,
SEPTIEMBRE,14.50,15.63,16.81,18.91,25.27,27.29,27.16,34.83,26.71,27.22,34.74,37.67,36.03,33.11,23.27,22.99,25.32,28.21,25.85,22.14,30.23,
OCTUBRE,14.48,16.00,16.60,19.48,27.22,24.73,27.34,31.29,26.02,28.80,34.11,36.69,34.14,31.35,22.86,23.36,24.44,28.54,25.61,22.30,31.00,
NOVIEMBRE,13.99,16.12,16.28,20.31,25.95,23.18,28.24,26.29,27.73,28.96,34.56,33.88,32.96,29.38,21.97,22.68,25.37,25.87,25.54,21.21,31.55,
DICIEMBRE,13.21,15.90,15.89,20.03,23.29,23.15,29.04,22.55,27.42,29.82,33.37,33.87,35.05,25.88,21.03,23.61,25.11,23.81,25.39,22.76,29.82,
Promedio,14.60,14.72,16.20,18.78,22.58,24.86,26.50,31.26,24.44,28.75,34.17,35.35,34.83,33.13,24.25,22.28,24.19,26.92,25.87,22.15,28.72,35.80
